striker,bowling_team,runs_scored,balls_faced,dismissals,strike_rate,average
AR Adams,South Africa,31,28,2,110.71428571428572,15.5
AR Adams,Sri Lanka,6,18,3,33.33333333333333,2.0
AR Adams,West Indies,35,25,0,140.0,
AR Berenger,Afghanistan,59,77,2,76.62337662337663,29.5
AR Berenger,India,4,9,1,44.44444444444444,4.0
AR Berenger,Ireland,13,26,1,50.0,13.0
AR Berenger,Pakistan,2,13,1,15.384615384615385,2.0
AR Berenger,South Africa,5,22,1,22.727272727272727,5.0
AR Berenger,West Indies,7,8,1,87.5,7.0
AR Berenger,Zimbabwe,22,37,1,59.45945945945946,22.0
AR Caddick,Australia,29,59,2,49.152542372881356,14.5
AR Caddick,India,13,41,0,31.70731707317073,
AR Caddick,Namibia,4,2,1,200.0,4.0
AR Caddick,Pakistan,3,3,0,100.0,
AR Caddick,Sri Lanka,15,13,0,115.38461538461537,
AR Cusack,Afghanistan,4,20,2,20.0,2.0
AR Cusack,Australia,30,41,1,73.17073170731707,30.0
AR Cusack,Bangladesh,0,12,1,0.0,0.0
AR Cusack,Canada,21,26,1,80.76923076923077,21.0
AR Cusack,England,53,68,1,77.94117647058823,53.0
AR Cusack,India,35,44,2,79.54545454545455,17.5
AR Cusack,Kenya,29,48,2,60.416666666666664,14.5
AR Cusack,Netherlands,15,39,1,38.46153846153847,15.0
AR Cusack,Pakistan,1,5,1,20.0,1.0
AR Cusack,Scotland,7,14,0,50.0,
AR Cusack,South Africa,43,67,1,64.17910447761194,43.0
AR Cusack,Sri Lanka,10,17,1,58.82352941176471,10.0
AR Cusack,United Arab Emirates,5,6,0,83.33333333333334,
AR Cusack,West Indies,8,16,1,50.0,8.0
AR Cusack,Zimbabwe,7,19,1,36.84210526315789,7.0
AR McBrine,Afghanistan,108,214,14,50.467289719626166,7.714285714285714
AR McBrine,Australia,7,10,1,70.0,7.0
AR McBrine,Bangladesh,5,19,3,26.31578947368421,1.6666666666666667
AR McBrine,England,68,84,3,80.95238095238095,22.666666666666668
AR McBrine,Nepal,17,19,1,89.47368421052632,17.0
AR McBrine,Netherlands,20,44,2,45.45454545454545,10.0
AR McBrine,New Zealand,93,133,3,69.92481203007519,31.0
AR McBrine,Oman,20,31,1,64.51612903225806,20.0
AR McBrine,Pakistan,14,21,0,66.66666666666666,
AR McBrine,Scotland,37,66,2,56.060606060606055,18.5
AR McBrine,South Africa,41,61,2,67.21311475409836,20.5
AR McBrine,Sri Lanka,96,87,2,110.34482758620689,48.0
AR McBrine,United Arab Emirates,30,33,2,90.9090909090909,15.0
AR McBrine,United States of America,35,53,1,66.0377358490566,35.0
AR McBrine,West Indies,171,278,6,61.51079136690647,28.5
AR McBrine,Zimbabwe,64,68,3,94.11764705882352,21.333333333333332
AR Nurse,Afghanistan,48,60,1,80.0,48.0
