striker,bowler,runs_scored,balls_faced,dismissals,strike_rate,average
A Vala,HN Ya France,40,35,0,114.28571428571428,
A Vala,Hamza Tahir,33,62,3,53.2258064516129,11.0
A Vala,Hazrat Bilal,9,13,0,69.23076923076923,
A Vala,IG Holland,10,8,0,125.0,
A Vala,Imran Haider,13,28,0,46.42857142857143,
A Vala,J Sumerauer,10,11,0,90.9090909090909,
A Vala,J Theron,1,1,0,100.0,
A Vala,JJ Smit,35,41,0,85.36585365853658,
A Vala,JN Frylinck,30,30,0,100.0,
A Vala,JN Loftie-Eaton,1,2,1,50.0,1.0
A Vala,JO Holder,9,17,0,52.94117647058824,
A Vala,JOA Gordon,8,10,1,80.0,8.0
A Vala,JS Malhotra,19,30,0,63.33333333333333,
A Vala,Jasdeep Singh,68,80,2,85.0,34.0
A Vala,Jay Odedra,11,11,1,100.0,11.0
A Vala,Junaid Siddique (2),15,17,0,88.23529411764706,
A Vala,K Christie,13,5,0,260.0,
A Vala,K Gore,14,20,0,70.0,
A Vala,KOK Williams,20,21,0,95.23809523809523,
A Vala,KP Meiyappan,4,7,2,57.14285714285714,2.0
A Vala,KS Airee,10,11,0,90.9090909090909,
A Vala,Kaleem Sana,1,1,0,100.0,
